Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, GParameter_4, GParameter_5, GParameter_6, GParameter_7, GParameter_8, GParameter_9, GParameter_10, GParameter_11, GParameter_12, GParameter_13, GParameter_14, GParameter_15, GParameter_16, GParameter_17, GParameter_18, GParameter_19, GParameter_20, GParameter_21, 
0, 75, 32.13302073018146, 358.9917904357627, 454.08452960673407, 536.2394824132472, 935.750396181529, 437.1556524612487, 491.5041975005292, 884.7590616939747, 982.6848491024926, 608.7479260855152, 34.04021267993229, 353.8308012367304, 695.7257534868189, 860.6081716224519, 147.63752681143382, 569.6202716936698, 478.97943634277664, 230.44776007495972, 284.789407413937, 459.48428392384545, 85.99142409832761, 298.152151135664, 
1, 140, 25.491004533064253, 442.3784026805415, 536.083626769557, 291.64161985982673, 585.0172653035206, 222.05711418186803, 437.2829648780684, 513.2762241646947, 719.8697663233023, 608.4004083653696, 698.4505303109727, 292.26668382211045, 536.9553638450799, 439.99274201761386, 120.86438439085373, 456.8599104732424, 422.5736538840124, 10.322900873930735, 302.1064514919086, 462.4843081018189, -159.15985047526033, 250.52071441622758, 
2, 217, 21.623238036167532, 697.9920466732564, 553.7872426562312, 470.51527901446036, 632.3083141754526, 313.72930699766647, 661.1985431670842, 627.2048525702277, 781.8594029590179, 985.346138581135, 752.0378075423, 456.95293924120006, 348.1085501724874, 476.85409701196073, 24.14850651910075, 503.550271062361, 392.83036938627106, 100.03093064020925, 0.2901949360258982, 318.4880489885247, 226.3935734312547, 54.62038767119617, 
3, 292, 21.427176140728335, 726.0218037976724, 457.27165397364587, 510.0222526774942, 595.8987694777758, 336.48462408765624, 333.94409798736535, 670.0480807017004, 620.9665580371429, 732.9479440463199, 996.4898989165395, 360.234710484273, 332.0905450446221, 437.2397448664316, -67.55549038737473, 312.6393442230345, 379.6520573195575, 112.17964204241906, -23.267998466125974, 331.753060521428, 105.61371320004201, 6.5145979399663645, 
4, 329, 18.837686580922387, 254.0095326655545, 448.8846297506685, 599.282321263863, 594.5211927663142, 339.7003254973986, 516.7077153053727, 651.2069751686703, 668.3028943658904, 1074.7620284514344, 833.2440650879051, 313.7720128737936, 352.4345152718755, 497.4302009568517, -82.74782774429914, 200.1251251232586, 202.69102090760816, 77.84980889925993, 84.38825564258181, 274.99257741630197, 123.10559626190991, 152.0406836634428, 
5, 413, 18.315227246273846, 114.60615365517765, 490.76557626279487, 507.9243163829882, 556.6858682786585, 326.33996843860683, 463.57062331646216, 678.644640131413, 887.8118841907565, 1076.0220173887283, 808.1817432435587, 365.44577745644654, 674.2667750736155, 330.96418949095766, 2.893642508619166, 103.98432160847824, 156.4423771747749, 165.07779306916643, 97.45825399812611, 292.90028517899964, 153.72059495514696, 160.7762346972507, 
6, 510, 13.862509238999253, 323.8480036175206, 445.70394231816215, 491.0013123673457, 594.6310174595017, 324.3453965017404, 483.17272206193275, 666.9291686695086, 741.841938321724, 1034.8199520883063, 827.3621537780388, 319.334493551076, 729.0290988144368, 467.25867965038196, 21.46096674795153, 133.28559786959397, 170.57831908930928, 194.10281251145688, 131.78304961314797, 155.7445647514173, 22.625990531987668, 83.12220900381439, 
7, 575, 11.568604884620303, 429.6623229905427, 491.235955956307, 517.5808485297234, 591.8941757637133, 394.1515109779687, 476.3321113666113, 729.8567203408579, 724.0582381050397, 765.2401844934647, 909.359752782502, 531.734982845813, 453.3575357839836, 316.6785608044969, 134.54668229086838, 107.64493329749232, 131.08913818432396, 123.74971768915677, 163.70634669598803, 50.893565779374114, -24.023636118560603, 228.64791184078942, 
8, 658, 10.323823076749123, 69.9411986943679, 510.45738052491384, 397.56758132844845, 657.5208366267026, 398.5304870754992, 552.6504024508706, 703.0653949236778, 704.7446672205816, 657.1001213358112, 898.8907072654255, 465.44311452009913, 573.3706133967407, 365.0542437161938, 238.7492583078594, 127.89839101622134, 126.42753026751544, 102.79703504322521, 144.05533421470486, -24.337744120982734, 20.825968544004876, 262.49833513753504, 
9, 726, 10.197285634321199, 501.0165997858642, 453.3107586685993, 276.33816526153606, 618.2561419799664, 385.36596725469013, 569.2455143607405, 703.3472632293692, 758.0905266034541, 607.8627733871506, 828.5224033596189, 354.29622003007, 556.8332448070655, 490.13747680391884, 160.454917496188, 122.92545989724943, 205.52243668259115, 176.23154783448982, 42.940826649626985, 104.36588767153492, 4.874473956156322, 68.59559889982604, 
10, 879, 9.49167124051108, 354.1304206138714, 457.2671222775417, 348.85194288397355, 661.8078513065216, 421.7633408110288, 566.7487550349506, 702.8669191428385, 699.2232125700382, 673.8682125002626, 673.7885594209622, 603.4135608239278, 704.1137441354563, 446.60767208980803, 179.4666967491629, 59.31147205296466, 197.166032916549, 143.41412910637575, 14.264542223607492, -28.272733225086668, 53.023691489633826, 173.00385023788448, 
11, 881, 9.193696203950104, 247.0651482100257, 448.3912070393469, 391.94145711745705, 651.772395870333, 425.7550162332642, 585.2659717993744, 768.4466169776133, 700.5407479699379, 661.3070927409501, 712.680600115301, 543.5344492237665, 702.4023613861264, 457.68324046490704, 194.74483796536632, 91.65761001246904, 185.4303535937001, 182.4173607903464, -21.690501547726797, 71.34223993131002, 51.9785519888965, 264.07406284734583, 
12, 968, 8.79618316554756, 313.10820389602475, 477.4466239634131, 483.51857443071685, 583.4129855534362, 393.0610253839032, 597.7238926859238, 773.1391730562917, 748.8353400127128, 638.3551426593594, 677.3957492219504, 720.0003445490588, 758.8557231584789, 383.6126406268412, 191.160464140574, 119.49841827154006, 191.20676013563212, 193.86663033767982, 126.97840228663823, 79.53440418214197, 69.88466349388818, 121.40515490446845, 
13, 1052, 7.8641608347657765, 303.3637609193946, 544.5520898965241, 408.2380223240415, 671.5453170665727, 361.22597878281505, 629.9073958659086, 644.1338788987331, 681.9793940549903, 658.0171034849, 684.4679181599589, 580.131598048852, 731.7109351439522, 334.15225932982435, 192.62418097038992, 212.01125401446942, 212.87545234923948, 118.18263387202909, 36.46063699368935, 91.24476457189581, 46.585252446101194, 129.1817780449662, 
14, 1168, 7.571856103419503, 157.17959342384592, 554.2536533900955, 479.3267629412933, 588.1402862763484, 468.21490708456264, 640.6069931295942, 686.2705504345192, 710.1918389664365, 576.6983235565639, 690.8656523850335, 622.4803293217176, 523.933982870692, 339.3629691976993, 249.00299017239257, 121.08951474289091, 247.76422921842257, 120.62853367494075, 12.633683025109704, 89.65607794998088, 28.756162653192845, 79.96038886019801, 
15, 1225, 7.342652120274398, 230.14595978694953, 529.7119872499529, 433.4811868483277, 615.2537284040149, 408.88953726432663, 657.7441964669999, 688.0912485480329, 731.385427594078, 639.0558304258311, 671.7210051684176, 543.1676645662621, 519.5581583154592, 474.53195774776026, 208.22875988221062, 104.53191700074083, 251.09894662189126, 101.89179505525098, 154.9987876194143, 53.72696380427186, 64.30305140683504, 81.24493973854318, 
16, 1304, 6.600201489361903, 248.96549747981865, 524.8257455156099, 428.2606696498209, 535.2050040518159, 469.52160853742004, 649.2183473271781, 670.747811419584, 680.0664696113354, 638.2416627625533, 687.0548265434746, 589.0916184598814, 488.54667463133455, 405.4804893496558, 248.59472769018515, 129.3010134253213, 259.1179599373774, 95.64815514042641, 88.60851776495137, 33.814647231779475, 60.04574420593025, 81.72224290934994, 
17, 1419, 6.517892167972044, 243.7844637425158, 511.5164531330484, 431.40079366728355, 551.7136114081802, 425.64453863407545, 633.483398720397, 658.2841080634604, 523.0952490206266, 602.6834497636082, 723.4939830290796, 565.0211153038385, 626.8024338810457, 407.04862200249323, 210.47807020451765, 159.3118277961185, 213.87733276879823, 154.89083900606514, 59.01677421001848, 65.1620922157948, 32.60627430339691, 96.09499099775576, 
18, 1492, 5.719920319789562, 313.0264901503423, 512.9111895418439, 436.6837522935886, 544.4762054698879, 410.87581197153924, 632.5848085980878, 650.5079314393541, 581.4810926631462, 593.9457084152707, 736.8191604850261, 516.8153334539879, 625.198752090219, 446.3419754497403, 202.7207070744457, 122.2141378143519, 162.34466709329553, 111.01446628462331, 84.21113540786446, 112.46749068861999, 27.572680188987434, 98.56689442375637, 
19, 1542, 4.824128607304379, 302.4316825808838, 494.6212749946438, 428.68695665394716, 538.2381242245629, 470.1119060229421, 637.8565900834196, 657.2329799595525, 607.0731444895266, 654.5834467099082, 702.156930726763, 535.2917917268712, 658.3388848479269, 394.07899921240784, 193.13667492309378, 124.49459258479791, 156.55346449788777, 112.41561859868114, 108.87563823750148, 68.36467510039944, 23.302556080760343, 69.86776160344334, 
20, 1679, 4.634707847555896, 256.9529516625729, 496.22588713781875, 469.59711894401977, 571.5794585205448, 512.7526941160207, 635.9558284869801, 662.6099576725128, 682.5499077144004, 585.12683371228, 672.368927599648, 565.6445101031836, 596.4804719130736, 469.90314110604345, 220.6786059332494, 94.71833056531554, 148.8712951926429, 127.45353522151312, 100.53159170474731, 39.8921214609512, 49.36604799703959, 14.305895005709715, 
