variables=Time[day],Longitude[deg],Latitude[deg],Altitude[km],Vel_long[m/s],Vel_lat[m/s],Vel_alt[m/s],Vel_mag[m/s],Density[kg/m3],Temperature[K],Kn,Time[sec]
1.183479999999999990e+02	-1.267642752863999931e+02	4.759216768160000299e+01	2.110925432921000038e+02	6.835115269922999687e+03	3.087263311901000179e+03	2.118927569485999918e+00	7.500000000000000000e+03	1.756095205519000058e-10	8.015647803045000046e+02	4.918199907352999958e+02	1.019734778614301048e+07
1.183480116057628351e+02	-1.267642752863999931e+02	4.759216768160000299e+01	2.110925432921000038e+02	6.838930437171999984e+03	3.078762436308999895e+03	2.157164240630999874e+00	7.499983487786000296e+03	1.755452771339999873e-10	8.015732652842000334e+02	4.919994585622999921e+02	1.019734878614301048e+07
1.183480232115256854e+02	-1.266762560606999983e+02	4.761900733854999856e+01	2.111046646871999997e+02	6.842740371392999805e+03	3.070244921388999956e+03	2.195402218767000146e+00	7.499966965753000295e+03	1.754809815813000013e-10	8.015817571495999800e+02	4.921790720309999756e+02	1.019734978614301048e+07
1.183480348172885215e+02	-1.265881428889999967e+02	4.764577274521000305e+01	2.111167959235999945e+02	6.846545017022999673e+03	3.061710772225999790e+03	2.233641431755999829e+00	7.499950433971999701e+03	1.754166341578999988e-10	8.015902558658999624e+02	4.923588304035000078e+02	1.019735078614301048e+07
1.183480464230513576e+02	-1.264999358490999981e+02	4.767246375802000102e+01	2.111289369467999961e+02	6.850344318381999983e+03	3.053159994211000139e+03	2.271881807425999877e+00	7.499933892514999570e+03	1.753522351512999919e-10	8.015987613951000412e+02	4.925387328767000099e+02	1.019735178614301048e+07
1.183480580288141937e+02	-1.264116350201999950e+02	4.769908023343000281e+01	2.111410877028000073e+02	6.854138219669000136e+03	3.044592593039999883e+03	2.310123273571000002e+00	7.499917341450999629e+03	1.752877848484999876e-10	8.016072736992999808e+02	4.927187786488000256e+02	1.019735278614301048e+07
1.183480696345770440e+02	-1.263232404832999975e+02	4.772562202798000186e+01	2.111532481373000110e+02	6.857926664964999873e+03	3.036008574719000080e+03	2.348365757943000176e+00	7.499900780852000025e+03	1.752232835360999994e-10	8.016157927404999555e+02	4.928989669195000261e+02	1.019735378614301048e+07
1.183480812403398801e+02	-1.262347523209000002e+02	4.775208899823000053e+01	2.111654181961999939e+02	6.861709598233000179e+03	3.027407945559999916e+03	2.386609188262000192e+00	7.499884210788000019e+03	1.751587314999999875e-10	8.016243184810999765e+02	4.930792968896000161e+02	1.019735478614301048e+07
1.183480928461027162e+02	-1.261461706170999975e+02	4.777848100079999938e+01	2.111775978256999906e+02	6.865486963321999610e+03	3.018790712190999784e+03	2.424853492211000106e+00	7.499867631330000222e+03	1.750941290260000043e-10	8.016328508834000104e+02	4.932597677612999973e+02	1.019735578614301048e+07
1.183481044518655523e+02	-1.260574954574999964e+02	4.780479789236999721e+01	2.111897869716999878e+02	6.869258703966999747e+03	3.010156881548000001e+03	2.463098597432999970e+00	7.499851042549000340e+03	1.750294763990000003e-10	8.016413899095999795e+02	4.934403787382000246e+02	1.019735678614301048e+07
1.183481160576284026e+02	-1.259687269296999972e+02	4.783103952969000261e+01	2.112019855805999953e+02	6.873024763788999735e+03	3.001506460884999797e+03	2.501344431540999835e+00	7.499834444514000097e+03	1.749647739037000069e-10	8.016499355222000531e+02	4.936211290251999912e+02	1.019735778614301048e+07
1.183481276633912387e+02	-1.258798651224000054e+02	4.785720576957000105e+01	2.112141935985999908e+02	6.876785086296999907e+03	2.992839457770000081e+03	2.539590922108999838e+00	7.499817837296000107e+03	1.749000218242999988e-10	8.016584876836000149e+02	4.938020178285000270e+02	1.019735878614301048e+07
1.183481392691540748e+02	-1.257909101263000053e+02	4.788329646886000290e+01	2.112264109719999965e+02	6.880539614891000383e+03	2.984155880086999787e+03	2.577837996677999843e+00	7.499801220964999629e+03	1.748352204443000011e-10	8.016670463563999647e+02	4.939830443558000184e+02	1.019735978614301048e+07
1.183481508749169109e+02	-1.257018620335000065e+02	4.790931148450999899e+01	2.112386376475000134e+02	6.884288292860000183e+03	2.975455736042999888e+03	2.616085582745999893e+00	7.499784595590999743e+03	1.747703700469999902e-10	8.016756115032000025e+02	4.941642078158999993e+02	1.019736078614301048e+07
1.183481624806797612e+02	-1.256127209380999972e+02	4.793525067352999969e+01	2.112508735714999943e+02	6.888031063387000358e+03	2.966739034160999836e+03	2.654333607793999850e+00	7.499767961243000173e+03	1.747054709151000040e-10	8.016841830867000454e+02	4.943455074191999756e+02	1.019736178614301048e+07
1.183481740864425973e+02	-1.255234869352999993e+02	4.796111389301000116e+01	2.112631186908000132e+02	6.891767869549000352e+03	2.958005783289000192e+03	2.692581999244000102e+00	7.499751317991000178e+03	1.746405233306000013e-10	8.016927610694999657e+02	4.945269423775000064e+02	1.019736278614301048e+07
1.183481856922054334e+02	-1.254341601225000034e+02	4.798690100009000048e+01	2.112753729519999979e+02	6.895498654316999819e+03	2.949255992596999931e+03	2.730830684505999972e+00	7.499734665906000373e+03	1.745755275754000069e-10	8.017013454146000413e+02	4.947085119036000265e+02	1.019736378614301048e+07
1.183481972979682695e+02	-1.253447405983000067e+02	4.801261185202000092e+01	2.112876363020000099e+02	6.899223360558999957e+03	2.940489671580000049e+03	2.769079590942999936e+00	7.499718005054999594e+03	1.745104839306000071e-10	8.017099360846000309e+02	4.948902152120999745e+02	1.019736478614301048e+07
