Variables=t10181685s,t10181938s,t10182191s,t10182444s,t10182697s,t10182950s,t10183203s,t10183456s,t10183709s,t10183962s,t10184216s,t10184469s,t10184722s,t10184975s,t10185228s,t10185481s,t10185734s,t10185987s,t10186240s,t10186493s,t10186747s,t10181685s_Velocity,t10181938s_Velocity,t10182191s_Velocity,t10182444s_Velocity,t10182697s_Velocity,t10182950s_Velocity,t10183203s_Velocity,t10183456s_Velocity,t10183709s_Velocity,t10183962s_Velocity,t10184216s_Velocity,t10184469s_Velocity,t10184722s_Velocity,t10184975s_Velocity,t10185228s_Velocity,t10185481s_Velocity,t10185734s_Velocity,t10185987s_Velocity,t10186240s_Velocity,t10186493s_Velocity,t10186747s_Velocity, ID, Error,Residual_mean
zone t="Time0 sec"
i=80 f=point
275.7738497119054, 132.32342486311387, 227.0768480763704, 474.0955560582715, 315.3439484631938, 349.58489202770915, 600.6629100743344, 978.1422478837391, 884.6098460138614, 931.6482082900606, 898.9704234545882, 761.4934234938207, 469.6848184815194, 393.636097725379, 204.04101001267549, 443.6146715369047, 490.0176544443032, 223.91818688073516, 321.0456551610935, 871.5827668596918, 605.1116460060887, -0.9744219111699357, -0.7205976533917042, -0.8020318403692559, -0.7915632171778437, -0.4250139982438723, -0.15990514544945977, 0.8419847883191467, 0.39924705661187354, 0.7543468954686556, 0.608122232888042, -0.5497379247609646, 0.9645649125980995, -0.6546064970164962, 0.348452006369935, -0.8426404944393697, -0.9719781762564725, -0.2706427889681555, -0.9110784731450814, -0.2791059124557529, -0.6176799872038561, -0.1583562393378306, 1, 40.65412964290269 ,0.9780954594883713
494.8583448355546, 24.664620309805763, 591.2789278073315, 333.886014813354, 290.6092042126841, 935.0567604423906, 978.4600528684472, 63.90856756073471, 374.05608819786937, 752.4478429519336, 848.6516117579406, 667.3309353067062, 891.8888091196791, 899.3018657653678, 747.1434480813533, 975.0271614479869, 64.82453301998036, 475.94686396206043, 742.9116744005512, 807.7402096516416, 962.0738232146474, 0.27044473126554824, 0.8883353467861654, -0.2124106248798321, -0.17986602050721667, 0.3151831147531181, 0.42584166447297234, 0.1807793407428928, -0.9595041644214926, -0.6592109433032871, 0.7875685337214409, 0.4671169953183498, 0.40419431816837514, 0.040930525285449715, -0.7445905544981675, 0.9195552083083804, -0.2479089311225875, -0.2086115551094605, 0.3716107767551131, 0.010467541335362762, 0.7020665667359853, 0.14028327188411227, 2, 55.66181469192917 ,0.9780954594883713
201.1826865611116, 870.059058323301, 341.6479808246663, 269.265277238269, 224.5171455417403, 270.9887911090998, 725.9170205974967, 34.004964272556506, 608.5801301402397, 431.8257979710917, 92.82940032250198, 912.1624910497716, 264.6524281278634, 79.41105222306322, 125.30600767869393, 848.1057452011535, 36.90535925422944, 470.2755664592695, 842.1361800616548, 998.1833399501321, 759.3488560567192, -0.08331795728840707, -0.6370341355272628, -0.21280824935405418, -0.8244867457340732, 0.3922930769139563, 0.032421360799058, 0.8514136342098395, 0.3239361544202435, -0.7286052088825956, 0.3394785979910633, -0.9612461592635599, 0.7298222190334667, 0.20520963048793694, 0.627249298674188, -0.375333112156903, 0.7341558809281519, -0.0756309104274484, -0.9097124509088441, -0.01343297476274885, 0.20459547616039586, -0.4502398433589192, 3, 51.2967085188824 ,0.9780954594883713
680.3726403186841, 245.03419440368103, 591.2928678996793, 500.9945556792771, 372.2311643435875, 356.5096064081176, 727.8382222482372, 754.8721249391399, 111.82126577599927, 333.49021823673263, 162.0228713074936, 490.42919222369073, 65.48309867387059, 664.0512618960181, 953.040482466453, 217.15521710429275, 867.4996953606476, 421.6136238157339, 402.10363160020034, 254.56099922283093, 712.3270475172578, 0.46938719881129964, -0.31571390392654486, -0.2352187347585717, -0.2466074042424029, 0.034608139846314945, 0.61282818567636, 0.7902413998728739, 0.7278415874808, 0.5504997809291607, 0.45861460343996363, 0.6687844632021107, 0.6071974895566841, -0.9016908091301108, -0.7839274092153365, -0.7406406984814413, 0.4451437191402732, -0.06590200727907924, -0.06450470229839445, -0.9507113887186343, 0.7566711223141838, 0.27565473444419797, 4, 47.7363988254484 ,0.9780954594883713
115.33922123148832, 72.90971709722815, 386.2446694879015, 232.05660585721566, 81.99345542105318, 714.6427532332679, 151.30998223420545, 524.5434701132692, 744.379965889573, 903.3194380028659, 512.6651800632583, 711.6654940276558, 780.0855821938918, 263.81189055267674, 528.9126695143029, 625.0921085925894, 903.5197330274253, 281.07593059379064, 878.3468577603229, 312.0626453531743, 186.50795265738273, 0.5132708261789174, 0.6081083634268798, -0.7216844469676986, 0.5611138761564256, 0.7018562710786864, -0.06778573840663693, -0.028046249132531953, 0.8931696989493494, 0.06906107179483612, -0.04974069218325372, 0.9120541946995733, -0.7500385554448614, -0.9759328127160278, 0.5103042029498666, 0.8973172910658371, -0.6475114732219063, 0.029427594502203336, 0.8597998409831509, 0.461215124872995, -0.42306702281554553, 0.1570698505381154, 5, 48.42510633394945 ,0.9780954594883713
617.9763792678266, 435.70617423454416, 661.5264071145918, 515.4309627428777, 854.3058980989701, 171.45688326828778, 586.5561116353117, 245.87640830452028, 864.0218564875646, 303.66692564655426, 211.9890424743267, 451.255409575526, 587.4930733678788, 808.4171387360832, 483.8833895973175, 890.429157930068, 984.468391621623, 871.6162984218896, 247.15682988857378, 141.57596045510246, 35.930751802978, 0.8562785138398505, 0.20547286779895324, 0.3882263823271648, 0.6124214085835724, -0.3571571146927932, 0.05422869246142481, 0.927538054774147, 0.8045919392264256, 0.875243569022681, -0.44072746541048446, 0.6540907596454775, -0.9220211981601021, -0.5916580687831767, 0.339650587184932, -0.6178896076673082, 0.5920029411316376, 0.9714773166325184, 0.21574903058281514, 0.7894509261179481, 0.5482440611786035, -0.4283318538264471, 6, 48.89176571680058 ,0.9780954594883713
143.32481666644924, 955.8570135020145, 601.1015281049172, 838.2670954070023, 742.835195614407, 13.67040827330268, 915.7216982756338, 195.05078203338533, 750.4540355365518, 598.5709013844863, 304.8319535576414, 362.9844020206784, 815.3946487415817, 567.1552630836779, 368.18628057454515, 983.0067872010458, 19.219864729155823, 826.9177905938458, 33.74874440228348, 936.7464273045293, 432.1294198934626, -0.5973986838800711, -0.4152002311380274, 0.01643756489956627, 0.5757858799167779, 0.5309790578610964, 0.8423341542598604, 0.9332326670611468, 0.16397190694103148, 0.4326407489514992, 0.9132334701508844, 0.8220628483456622, -0.11686938709356642, 0.374593792661976, 0.7386783755907183, 0.21834599271509503, 0.46180801097620794, -0.28749793839720983, 0.6303337427081446, -0.3630625769459306, 0.4324466657309942, -0.34295846933292573, 7, 46.77178060879689 ,0.9780954594883713
277.0828179266478, 814.4969885316925, 351.94186568788297, 187.22925742025785, 139.70921254502855, 399.9834358379055, 385.7913953958514, 36.46176991494809, 709.49156284969, 13.57707817363185, 706.0165941435646, 717.7847984512866, 527.5305119677078, 562.499131651104, 54.00758265906014, 601.2775004813805, 54.676168613690955, 881.9288109544508, 726.596297399274, 186.9192574945232, 640.0945653228689, 0.666929583732377, -0.3018048033772678, 0.4514720350383443, -0.2643205230226213, -0.7544773510764862, -0.685385570818688, 0.4110211285580656, -0.2450082824991977, 0.2862480100035103, -0.23245396131368157, 0.9941430003703511, -0.2633858188163143, 0.9955405636215946, -0.16221061516256396, 0.21388070141431026, -0.3104071492786158, 0.07919454226312128, -0.5251394642093221, -0.18795845170334635, 0.23205450121629068, 0.4411508106570241, 8, 47.85074539924202 ,0.9780954594883713
