Title=Heatflux
Variables = Time[s], Altitude[km], Heatflux[W/m2]
Zone T="Case"
  1.0181685000000000E+07  2.0000000000000000E+02  2.6770567768231552E+02
  1.0181938100000000E+07  2.0000000000000000E+02  3.7540394966872481E+02
  1.0182191199999999E+07  2.0000000000000000E+02  4.4738349968405021E+02
  1.0182444300000001E+07  2.0000000000000000E+02  4.6867205050002320E+02
  1.0182697400000000E+07  2.0000000000000000E+02  4.6867292167880464E+02
  1.0182950500000000E+07  2.0000000000000000E+02  4.7436073345446903E+02
  1.0183203600000000E+07  2.0000000000000000E+02  5.0464567188209202E+02
  1.0183456699999999E+07  2.0000000000000000E+02  5.5641943730662365E+02
  1.0183709800000001E+07  2.0000000000000000E+02  5.6428760625048733E+02
  1.0183962900000000E+07  2.0000000000000000E+02  5.0981187572592040E+02
  1.0184216000000000E+07  2.0000000000000000E+02  5.0508539181048343E+02
  1.0184469100000000E+07  2.0000000000000000E+02  4.8183038646278487E+02
  1.0184722199999999E+07  2.0000000000000000E+02  4.4448543313825741E+02
  1.0184975300000001E+07  2.0000000000000000E+02  1.8283771950711630E+02
  1.0185228400000000E+07  2.0000000000000000E+02  1.8052600864708111E+02
  1.0185481500000000E+07  2.0000000000000000E+02  1.5990982546066161E+02
  1.0185734600000000E+07  2.0000000000000000E+02  1.4028910707730250E+02
  1.0185987699999999E+07  2.0000000000000000E+02  1.2622732865025755E+02
  1.0186240800000001E+07  2.0000000000000000E+02  1.0909226334780882E+02
  1.0186493900000000E+07  2.0000000000000000E+02  1.1410485718130926E+02
  1.0186747000000000E+07  2.0000000000000000E+02  7.8910282272241773E+01
