Trajectory data of altitude: Time(day), Mean, STD
1.019652922728296556e+07	2.020282030209140771e+02	8.485859425385859633e-02
1.019653455755403079e+07	2.020463841276449557e+02	8.130411540693822936e-02
1.019653988782509789e+07	2.020648970729135385e+02	7.791293754958997231e-02
1.019654521809616312e+07	2.020847642571330880e+02	7.471397243686950240e-02
1.019655054836722836e+07	2.021056454664293938e+02	7.147227582393504697e-02
1.019655587863829546e+07	2.021270682169524662e+02	6.875959566585637672e-02
1.019656120890936069e+07	2.021493831574188107e+02	6.632161853838570986e-02
1.019656653918042593e+07	2.021730523248815530e+02	6.342626491564265501e-02
1.019657186945149302e+07	2.021975455019120886e+02	6.178637487985192550e-02
1.019657719972255826e+07	2.022223590433739560e+02	6.015341153048842787e-02
1.019658252999362350e+07	2.022482231480612995e+02	5.806182980049315323e-02
1.019658786026469059e+07	2.022750815027123394e+02	5.677235943504255200e-02
1.019659319053575583e+07	2.023023067884234933e+02	5.544208206432011538e-02
1.019659852080682106e+07	2.023308204473206047e+02	5.491201434680356708e-02
1.019660385107788816e+07	2.023599680751723326e+02	5.389887240771699256e-02
1.019660918134895340e+07	2.023899560012652614e+02	5.364059344697938436e-02
1.019661451162001863e+07	2.024208736100804344e+02	5.331537488726766777e-02
1.019661984189108573e+07	2.024528206756384066e+02	5.335945272933222822e-02
1.019662517216215096e+07	2.024852015635239013e+02	5.322830123077679221e-02
1.019663050243321806e+07	2.025184305497237460e+02	5.366650058092553577e-02
1.019663583270428330e+07	2.025523332187709116e+02	5.368993666765478623e-02
1.019664116297534853e+07	2.025874405974419119e+02	5.428067970873440284e-02
1.019664649324641563e+07	2.026232529371663418e+02	5.446913813183034553e-02
1.019665182351748087e+07	2.026596222519104913e+02	5.509011551774482818e-02
1.019665715378854610e+07	2.026973004186006619e+02	5.566312848590972140e-02
1.019666248405961320e+07	2.027352374021277228e+02	5.640752917835469699e-02
1.019666781433067843e+07	2.027741828941969970e+02	5.670937904187647871e-02
1.019667314460174367e+07	2.028136130857254784e+02	5.758542953096251055e-02
1.019667847487281077e+07	2.028543935860116108e+02	5.812563419161297790e-02
1.019668380514387600e+07	2.028951537704008388e+02	5.889565585456023322e-02
1.019668913541494124e+07	2.029374758295517722e+02	5.968259246856776751e-02
1.019669446568600833e+07	2.029798546526938026e+02	6.031726358703704688e-02
