Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, GParameter_4, GParameter_5, GParameter_6, GParameter_7, GParameter_8, GParameter_9, GParameter_10, GParameter_11, GParameter_12, GParameter_13, GParameter_14, GParameter_15, GParameter_16, GParameter_17, GParameter_18, GParameter_19, GParameter_20, GParameter_21, 
37, 2985, 2.421726894089374, 275.3560376698245, 367.2773498872079, 455.427211569841, 470.5552810489588, 462.3670902910097, 453.9516324994559, 507.374364703646, 592.1814150148385, 573.8813956802093, 519.0317981467745, 501.80497024042967, 499.2777839016029, 435.8418021905663, 178.87718539354103, 168.23999074649873, 165.36273349728643, 129.89354817746596, 149.3932459226504, 85.37951374281833, 108.57164306258471, 77.82037052568909, 
38, 3093, 2.388940042632825, 278.577838523714, 361.19383917115795, 451.18589535344626, 468.6555600119316, 463.934204347621, 453.5290066664357, 504.85787067090126, 592.1791610380156, 575.3108704697219, 511.49454464845746, 500.00304462225, 493.1138769796054, 445.5778444782941, 188.8248581090761, 168.74917245252098, 164.4695535141311, 138.79667510569513, 149.56474855084252, 85.13000856704404, 111.80191963371304, 76.10226560795752, 
39, 3123, 2.3418433537106678, 296.39012187189576, 364.82239238706256, 449.65069814492335, 463.1667218639665, 462.9340380984155, 455.1597318014833, 508.0263608300784, 588.2614243090078, 567.3775362075199, 513.1197801924735, 512.6680037803852, 473.78945307967837, 447.2129404650711, 193.43163458505202, 170.38790772789568, 160.0688074605714, 128.74949841200325, 145.5590527655074, 86.97595923756762, 111.56721527708352, 75.87442002276012, 
40, 3253, 2.3155168027673008, 292.8809199426165, 364.94587368494655, 450.973000396553, 466.3846040908946, 463.59241702778684, 455.7687283060656, 505.50784510900974, 585.3284549050636, 567.9991493274757, 512.3735521474937, 509.78674419908765, 487.38009475591065, 451.39067446062813, 193.6054057568793, 169.69731818541686, 164.04387036143348, 127.25666894884351, 147.2327101421933, 87.30722290124568, 113.12163943628791, 75.9819197667149, 
41, 3282, 2.3015956219596725, 291.42628292292875, 363.93507207922164, 446.5935151266825, 461.3998753782294, 463.3866615797025, 456.80790751710373, 504.22280578058974, 583.7784229832644, 558.9883116571041, 511.0150607900429, 512.8599350626841, 468.86265823936054, 457.4772879354408, 196.94316619165613, 171.2949358413558, 164.97199420791932, 128.01788120076625, 145.01231823246283, 88.32856308808533, 114.05966690127275, 75.88029861161355, 
42, 3439, 2.2211509373678937, 277.20282612461335, 362.44383193967997, 443.45115196366197, 464.94732150721467, 463.11642785684626, 460.80386618482015, 504.47711434203705, 581.5991708965172, 560.9497614836174, 512.1124881924464, 517.6052959232259, 467.7935440350704, 449.2301171517192, 196.1385537999633, 172.85992352419768, 163.78804700653745, 132.31281131223088, 144.40276393254294, 89.57173059235, 115.41961356679732, 75.74224007151058, 
43, 3444, 2.1822150554674327, 282.9506246867712, 369.2733880325327, 445.7475157969246, 459.0380835469759, 463.19580321206263, 462.74895686944626, 500.7974439238944, 579.7203075901793, 553.9047711582084, 511.8073643344804, 518.1471709756025, 473.475559521473, 449.8514412582065, 190.5953341639858, 172.64134923683176, 166.6278765694425, 134.95638577993242, 144.3395996737699, 90.15091159501526, 114.88154259361168, 76.74547157443713, 
44, 3598, 2.138597016976105, 268.70609942198865, 370.6440047348954, 442.95433010238304, 467.4627823401985, 464.05905303559956, 463.61571313503964, 502.0059340062524, 577.3756003447663, 552.4398241374143, 511.52891073645134, 519.9666420237538, 470.22082805795986, 442.6471883217733, 187.0188897064029, 173.49395511060462, 167.12747583532624, 130.49276891986963, 142.70542380157502, 90.86743820798142, 114.83452446985365, 77.16595126250714, 
45, 3625, 2.1034411329181437, 267.78517536281527, 372.123504427118, 448.6029885244264, 465.32552154794024, 463.2159416305698, 465.9442000239408, 501.27177083770306, 572.5617100676571, 550.2213372237857, 512.4208232854082, 519.0218001505663, 468.11164458563655, 444.10461418959784, 182.68509185060532, 175.73211107656746, 162.25089697376805, 134.66448706586078, 143.5677893663966, 92.03785557572321, 114.62378893995468, 77.01323527716, 
46, 3717, 2.085724318942456, 266.3650447158546, 373.19630178403014, 445.18965549736316, 467.177555901085, 464.0289071754781, 467.26341147388047, 501.5629910720997, 571.7949851911926, 552.0352412817473, 514.0182316980997, 519.5898455140965, 473.09234961769226, 441.6921368291147, 180.0380205315857, 175.84363159770933, 162.40501176232326, 133.31293765873656, 142.70531280001703, 92.88498582687804, 114.50301497902853, 78.43827513696957, 
