Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, GParameter_4, GParameter_5, GParameter_6, GParameter_7, GParameter_8, GParameter_9, GParameter_10, GParameter_11, GParameter_12, GParameter_13, GParameter_14, GParameter_15, GParameter_16, GParameter_17, GParameter_18, GParameter_19, GParameter_20, GParameter_21, 
0, 3, 54.01253236454648, 732.260078878219, 386.8660467479343, 525.161645256603, 164.98059245116625, 350.4145410995614, 402.43269104478816, 858.4164156504579, 212.6675606533954, 322.0935428103617, 775.7943034456384, 1038.6495398686689, 158.34325409155747, 1957.9703292156416, 1785.9984249439324, 1612.8700612954892, 344.6285482302418, 1450.1118980492756, 552.4841994826533, 1278.4014753011136, 306.3111777361429, 1174.821070305121, 
1, 9, 47.76610050524844, 919.3399352891672, 340.7170071131702, 729.1342453516468, 500.1144727215782, 63.89552006160238, 247.90360095803757, 345.3849242806002, 269.91129849785534, 163.53508368555413, 489.6420234386401, 901.0180860458347, 103.5882672928691, 1333.4162847094424, 1815.7227888857494, 1987.7496168888488, 1217.459861348013, 1525.6009534714053, 914.8134336922288, 1422.2378574976783, 470.99948594449074, 1607.8356002827768, 
2, 17, 42.92157156569931, 712.6563004948397, 101.1077721985373, 16.667316748189137, 36.89592850740581, -548.4691693888587, 376.0699608207317, 393.2850349215696, 45.07786157684734, 204.5568760776663, 932.5753689454459, 975.2877341631178, -189.84048065923173, 1206.4163867011298, 1808.9013807818249, 1984.3510414658817, 778.3275026594904, 1385.8325918522169, 954.8690951313588, 1284.33015307436, 477.26292555652407, 1583.801463759379, 
3, 23, 42.47781190655802, 473.7690173806774, -391.6784785886483, -191.18085153528443, 88.88075099267724, 22.358516006113632, 121.41426572825296, 292.65390921183723, -223.04194424742326, 17.81709813974227, 922.7598491783787, 856.4380651203985, -954.0264909174791, 1702.9951270006386, 2388.066048040752, 2035.2960838747003, 663.0809661966995, 1361.2029857544126, 1253.2558712038735, 1358.3982651535823, 610.7412085484339, 1637.0406708945302, 
