Title=Heatflux
Variables = Time[s], Altitude[km], Heatflux[W/m2]
Zone T="Case"
  1.0181685000000000E+07  2.0000000000000000E+02  2.8417088204853576E+02
  1.0181938100000000E+07  2.0000000000000000E+02  4.0815468519205592E+02
  1.0182191199999999E+07  2.0000000000000000E+02  4.8311373124395027E+02
  1.0182444300000001E+07  2.0000000000000000E+02  5.3536554582698591E+02
  1.0182697400000000E+07  2.0000000000000000E+02  5.6934523502591628E+02
  1.0182950500000000E+07  2.0000000000000000E+02  6.0443354012319298E+02
  1.0183203600000000E+07  2.0000000000000000E+02  6.2789306776164403E+02
  1.0183456699999999E+07  2.0000000000000000E+02  6.4802283367814880E+02
  1.0183709800000001E+07  2.0000000000000000E+02  6.7541164528334980E+02
  1.0183962900000000E+07  2.0000000000000000E+02  6.8017497649176244E+02
  1.0184216000000000E+07  2.0000000000000000E+02  6.1680642403838431E+02
  1.0184469100000000E+07  2.0000000000000000E+02  5.8598194959388195E+02
  1.0184722199999999E+07  2.0000000000000000E+02  4.7643611545211184E+02
  1.0184975300000001E+07  2.0000000000000000E+02  1.8734522489391139E+02
  1.0185228400000000E+07  2.0000000000000000E+02  1.6142770059810937E+02
  1.0185481500000000E+07  2.0000000000000000E+02  1.1900817621844956E+02
  1.0185734600000000E+07  2.0000000000000000E+02  9.8548994118694679E+01
  1.0185987699999999E+07  2.0000000000000000E+02  7.0682755890837313E+01
  1.0186240800000001E+07  2.0000000000000000E+02  6.3658475797155582E+01
  1.0186493900000000E+07  2.0000000000000000E+02  6.0550367828554805E+01
  1.0186747000000000E+07  2.0000000000000000E+02  4.3626462216654893E+01
