Variables=longitude,latitude,altitude,density_factor,Error,Epoch
7479.691481104848, 98.56145590261073, 0.9384985536281043, 1.1739818063221064, 53.31588839279361, 1.0
7403.966827136643, -54.41145796086002, 6.82790236092675, 0.8810624513226063, 154.157007420611, 2.0
7482.924368389333, -24.070243546524623, 5.567466261928121, 1.1018585859950918, 42.365575488056244, 3.0
7491.202023197186, 70.12048915467577, 5.028017184796493, 1.1031060681393479, 21.652223763009424, 4.0
7408.680122925392, -47.98559731973824, -9.215874897877248, 0.5034157178176903, 147.7150102179778, 5.0
7404.997314479885, -0.8610551474873347, -1.8050586559159107, 0.6465821027860326, 150.81293987497756, 6.0
7493.449954971197, -70.1989707786999, -0.8865846117299991, 1.2321004025154623, 17.667194772498732, 7.0
7423.900107696786, 60.649670594243275, 1.2405757729383264, 0.7374971557738603, 148.27125680079607, 8.0
7498.403454036698, 7.260081254925765, -4.075754918888319, 1.3982825826617256, 12.210247073758673, 9.0
7470.818441729829, 15.25841007320669, -3.7312764140926475, 1.3567837992775647, 135.85052883241462, 10.0
7453.607653453974, 45.490331277680156, -2.1541909206705423, 0.5578207142614027, 134.41104931806166, 11.0
7411.948091443415, 33.38418506910946, -9.390547985868631, 0.5639487039584177, 148.6933331608768, 12.0
7441.093350732252, -96.63357072540677, -7.591078014490873, 0.9037067626640105, 148.26764400849896, 13.0
7463.701213087302, -48.24925162482954, -5.600515569581484, 1.2146224225179132, 143.20314624418486, 14.0
7445.242470302655, -17.390603247400023, -5.229927301872261, 1.3632150218644843, 153.74160392463884, 15.0
7409.79053527717, -89.58117521553604, -3.2323209543489657, 0.8586492451269303, 154.11851437075748, 16.0
7450.31665119698, 78.95634185248542, 7.299334848925948, 0.6415356426035166, 136.17899065554496, 17.0
7432.787068281549, 15.028593746945901, 9.053355537601838, 0.7469850411543517, 144.85941031455323, 18.0
7412.220184652286, 98.67948347865567, -9.55532905548397, 1.3369096068675939, 160.8951497643185, 19.0
7497.110814555857, 34.6977346431386, 8.617472207900384, 1.231214524905703, 15.182642467416583, 20.0
7469.287072283205, -91.76219057371382, 8.61487385564718, 1.4952724469700391, 135.44592293265657, 21.0
7435.992518710161, -63.85535605847714, -1.460471188838648, 0.8244606963372422, 147.30435595576347, 22.0
7425.437632528257, -34.516947655839985, 9.157223234911179, 1.2293166029800426, 154.76786526950565, 23.0
7497.032956126785, -98.11050525096097, -6.134684008612665, 0.8322985215108241, 10.899523831008409, 24.0
7498.511942181534, -45.07246800373306, -7.628617783493141, 0.7868034629395408, 10.814717177559823, 25.0
7401.169385625179, 74.37020400935216, 9.447856090190893, 1.2126218551505286, 158.85097505100583, 26.0
7441.585001133863, 99.68346150179107, -8.493025525061439, 0.9952601966620019, 149.83645517420783, 27.0
7481.702499292244, 48.23170472772719, -9.31946512356894, 1.4819815371592626, 58.26571834829402, 28.0
7470.882369563447, 71.1499142938809, -9.145118806739188, 1.1195321288563918, 133.02462059728057, 29.0
7463.979228102989, -6.19514611945165, 5.919880595130794, 0.8726575724754226, 134.01124783305298, 30.0
7465.197410204549, -73.15073390939284, -9.618033292467366, 1.4915365586323484, 146.76173295892093, 31.0
7423.621176906824, 86.03634719835216, 8.79549025342207, 1.2092924951176092, 154.83976966606605, 32.0
7403.146865759003, -25.13977720432854, -6.312062897220915, 0.6127415832404713, 151.03447675051828, 33.0
7499.3950560617795, -14.002984471796438, -9.486701189869047, 1.2672087019330536, 11.476994187439367, 34.0
7400.361987185605, 49.632085300378066, 5.611602052006479, 1.001061779238857, 156.71774610042047, 35.0
7497.193824373574, 88.4538996745271, -8.77062864354454, 1.0185589565348063, 11.418556662784681, 36.0
7481.889794624701, -49.232363315061335, 8.358907694805826, 1.3593032027749439, 49.71730031803587, 37.0
7400.0070015217725, 19.81249436607699, 8.718311977089101, 1.2691994892114375, 159.8441842061785, 38.0
7446.598234222239, 25.620630453952373, -9.713179884040759, 1.0535213098790024, 149.64923071736624, 39.0
7473.821132632189, 39.14674832177215, 8.917766661707397, 1.1326387169452081, 110.7483412000662, 40.0
7431.171694912847, -84.39097469659202, 9.734936825643562, 0.6554882683315472, 143.0202716140724, 41.0
7433.663510571366, 38.92029371918491, 6.861211910578593, 0.7986755562855155, 146.01049443422565, 42.0
7431.242536513057, 1.0418057011361697, -9.12545904924345, 0.5087238433692173, 142.72503845396244, 43.0
7462.075414166323, -30.665493499752912, 9.531192149514773, 1.3212574990965746, 142.23829940778953, 44.0
7446.0095489239775, -46.61018682419773, 8.60833575111926, 0.806914822674566, 141.78933108573858, 45.0
7488.065377259009, -3.3315359512831293, 8.065641001813479, 1.0575712754009805, 28.955285262326715, 46.0
7490.863055016636, 25.48364809652459, -9.881870232456098, 0.9223337249547093, 21.445556004522594, 47.0
7497.944381352931, 89.789286512366, 9.946294591933128, 1.2637892270349738, 15.222071179279492, 48.0
7453.77794642372, -75.97367111917244, 7.936042183006357, 0.9198833412997207, 140.8769046543308, 49.0
7435.399612367717, -39.69717013215484, -8.888257311937085, 1.0804134438666924, 153.12159792211867, 50.0
7425.319464544572, -11.778223145660078, 9.77775756418768, 0.7137644547743567, 146.08133596576894, 51.0
7472.839294612261, 61.16684602631358, 8.974104850124803, 0.8162617377165181, 100.03352106856067, 52.0
7475.102560657196, -70.9465336914211, 9.951776073953479, 1.2637878596692778, 104.41556120472657, 53.0
7478.7743606349995, -9.936860347058072, -9.772324135217154, 0.5711798082983526, 47.374057489477465, 54.0
7436.62604383871, 74.0927150566088, -9.766150492298156, 0.682085894077185, 145.6128257019289, 55.0
