Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, 
90, 28935, 2.1839485803165855e-07, -36.47488145709258, 28.43516218453654, -122.7855358098322, 
91, 29145, 3.3354508325525314e-07, -36.474555689475274, 28.43509392376797, -122.78562270978118, 
92, 29741, 3.88262078663762e-07, -36.4745689177676, 28.435365314661464, -122.78499493056904, 
93, 29775, 3.533703939970866e-07, -36.474588299415906, 28.435378069312183, -122.78538606779352, 
94, 30241, 3.344966435085731e-07, -36.474209211605036, 28.43580038059645, -122.78604520396851, 
95, 30521, 3.0984852033905613e-07, -36.47415342011099, 28.43579913231155, -122.78646454978663, 
96, 30903, 3.205966736722499e-07, -36.474286744565624, 28.43574017982989, -122.78658698539037, 
97, 31175, 2.1888595858933762e-07, -36.47457899113939, 28.435430164800096, -122.7858073853433, 
98, 31652, 3.2116177373546206e-07, -36.47442319506707, 28.43554794404761, -122.78552906295778, 
99, 31984, 2.3654860056666431e-07, -36.474728904933606, 28.435142186963947, -122.78570533316974, 
