Variables = Step, GID, GSolution, GParameter_1, GParameter_2, GParameter_3, 
0, 218, 0.005941770513542908, -11.290256441535064, 43.241861765056086, -155.3661566222921, 
1, 637, 0.0032568279098827493, -13.66866403709875, 43.93406589805703, -156.74584053427094, 
2, 858, 0.002293574284652673, -14.292838560653065, 43.39112763538729, -156.4208589891203, 
3, 1178, 0.002432471465422147, -15.696731410680798, 43.558657654132304, -156.87338307150534, 
4, 1381, 0.0010551179975082105, -9.127957034959362, 43.884429692176354, -166.48028346642053, 
5, 1710, 0.0025600392330427583, -12.376391684490343, 44.46484442865095, -165.84317307414284, 
6, 2008, 0.0010295726506433466, -17.70644450251061, 41.78340013790015, -155.18302008126022, 
7, 2354, 0.0005998131171972399, -25.80987508143925, 38.50189681499474, -142.50817277140587, 
8, 2610, 0.0005283781021508626, -27.788742147523035, 36.993964112352586, -138.03163000538743, 
9, 3177, 0.0014734909950931915, -22.99079907325794, 40.39529531633868, -148.29798823252105, 
10, 3378, 0.0017681681031023694, -8.881193518417618, 44.70512868409977, -165.71177494252154, 
11, 3721, 0.0012218869664841583, -15.83709094354713, 42.23670028880341, -156.98633389357053, 
12, 4101, 0.0006637502432143043, -28.88250367656798, 35.87837429262415, -135.97692773908716, 
13, 4210, 0.000885890655729471, -33.90031004972332, 31.114005496980678, -126.75916682331618, 
14, 4532, 0.0013158978899846904, -14.582527201781083, 43.55190447368216, -160.19361956685117, 
15, 4852, 0.005513205371724003, -8.961235145927354, 46.39139770906442, -173.33202824309578, 
16, 5411, 0.004088440814982077, -2.313498146564582, 45.576737639908785, -171.36964445662943, 
17, 5492, 0.00034575006364842955, -13.108279009188136, 43.320804443951, -161.23202186482473, 
18, 5793, 0.0011945240766345472, -37.6818133637381, 27.369698053024624, -122.29182614934513, 
19, 6130, 0.0015723594447849011, -40.7994531650659, 22.093838051384534, -112.65796584767236, 
20, 6696, 0.004384228656848646, -37.73599925693684, 29.457778631979615, -128.24957479140488, 
21, 6999, 0.0019937513098668307, -27.715946844275713, 37.90545394262844, -141.10138525299627, 
22, 7242, 0.0008086043425890899, -28.529904892615903, 36.041539797850106, -137.37349719234018, 
23, 7399, 0.0005481221404144002, -31.059611856929912, 34.41021131712099, -134.0535992478985, 
24, 7976, 0.0012576680043529642, -31.83983478853615, 34.30839195782667, -133.19153030522364, 
25, 8202, 0.0013189796480014746, -33.504624469158344, 32.53318056390814, -130.9902193158106, 
26, 8610, 0.001981775935709892, -34.518366104382935, 31.944536312622297, -127.03365485716216, 
27, 8682, 0.0012840341866889942, -35.72000778099778, 29.224146949474918, -125.94214865966099, 
28, 9050, 0.0008042035168623112, -34.2122763368914, 31.0743921300655, -128.25944768807824, 
29, 9441, 0.0007775449898429251, -36.54020772652534, 28.063943502839127, -123.23289085815185, 
30, 9915, 0.00020688332375582935, -36.81366703792167, 27.830009190435305, -121.82906018027117, 
31, 10081, 0.0005855805615914832, -36.58206995111623, 28.198186071535215, -123.30939070374097, 
32, 10437, 0.00037481013230139553, -35.893232814356, 29.153809459289167, -123.34980188513829, 
33, 10611, 0.0004780389426357829, -35.51802942548815, 29.558448345661482, -123.91065124808593, 
34, 11041, 0.0007322353195328092, -36.046319068625955, 29.42612118310436, -123.79182105892232, 
35, 11261, 0.00023863550412944447, -36.410429286124746, 28.378256516009955, -122.58967672440568, 
36, 11640, 7.914079298651157e-05, -36.16874089605571, 28.79785812786115, -123.32706480216379, 
37, 11891, 0.0002802789635312692, -36.48814438267056, 28.441068177398996, -123.22395976826729, 
38, 12289, 0.00012011754459802227, -36.61170431737787, 28.324204317118948, -122.57955978321709, 
39, 12600, 0.00015953549075973296, -36.48512024917497, 28.31782361672776, -122.62665916683171, 
40, 12932, 5.659037962589556e-05, -36.47653214722651, 28.414388678589734, -122.67952896361733, 
41, 13181, 3.106856874797908e-05, -36.477146843977074, 28.412134587479017, -122.7616636271587, 
42, 13572, 6.902888641619986e-05, -36.477723819658046, 28.396712210280445, -122.66158233061094, 
43, 13892, 2.985401280186281e-05, -36.47574852189694, 28.449191279669567, -122.77728592558948, 
44, 14212, 6.255626096981752e-05, -36.474760873016386, 28.475430814364127, -122.83513772307874, 
45, 14532, 4.9977606453301497e-05, -36.47460039521363, 28.464469201487965, -122.8606188064465, 
46, 15010, 1.4155631771062994e-05, -36.474576064433236, 28.432842553245774, -122.7608237696758, 
47, 15172, 6.193016149979811e-06, -36.47490834480628, 28.431690734107107, -122.77414902145593, 
48, 15492, 1.917510527387234e-05, -36.47414680823052, 28.425268180665718, -122.75613809858677, 
49, 15970, 1.2787862471820195e-05, -36.47620499164722, 28.440311607958073, -122.80192299155259, 
50, 16244, 6.455556877706074e-06, -36.45955864354034, 28.45147320586846, -122.80986425274381, 
51, 16374, 1.8731967772572286e-05, -36.48357512363584, 28.432450600090583, -122.76194664477606, 
52, 16641, 2.690468502278062e-05, -36.48171156285844, 28.4087962896591, -122.75890017079216, 
53, 17092, 1.9889388437671634e-05, -36.50123991318441, 28.410907802959244, -122.73679238879654, 
54, 17455, 1.3986927435759888e-05, -36.481002759442084, 28.4274339858551, -122.75173112517768, 
55, 17732, 1.1829238267803962e-05, -36.47519533209819, 28.437188262459095, -122.77078442797976, 
56, 18113, 7.945987131434125e-06, -36.48201511688279, 28.420129425381642, -122.76516494707874, 
57, 18294, 2.5683933430036193e-06, -36.47873472698754, 28.431295710067108, -122.77891127446443, 
58, 18629, 1.2105021074260332e-06, -36.47008411114743, 28.440898912784885, -122.79309154344149, 
59, 18949, 8.84199327434103e-06, -36.467454072380974, 28.439317392531056, -122.79212582521257, 
60, 19254, 2.6215485319834436e-06, -36.47372923632421, 28.43477462049963, -122.78427144973229, 
61, 19589, 5.133681199117382e-06, -36.47403096172195, 28.432739250556537, -122.78287070115893, 
62, 19894, 2.119357398837109e-06, -36.479005464833556, 28.430067887115275, -122.78017115798131, 
63, 20458, 3.250257246325849e-06, -36.47791258210087, 28.432012405167132, -122.78462286616028, 
64, 20549, 4.7295574559791785e-06, -36.472168390457874, 28.439830614231038, -122.78548002571308, 
65, 20805, 5.289232560417758e-06, -36.47669775748793, 28.434603536839415, -122.77768277758302, 
66, 21418, 5.79071017291248e-07, -36.47737491911672, 28.431406776035093, -122.78030497781845, 
67, 21501, 1.8613616866327072e-06, -36.47757753259354, 28.432207105766263, -122.78251718279385, 
68, 21808, 1.8247235388928684e-06, -36.476157093108384, 28.431906201495128, -122.78060401244574, 
69, 22378, 5.813366464845484e-07, -36.477270859201184, 28.431232507904824, -122.78031279801029, 
70, 22430, 2.6540357269990602e-06, -36.477253357918386, 28.431129269290413, -122.78318004380085, 
71, 22789, 7.976272758353594e-07, -36.4752400664476, 28.434926344769032, -122.78546140673673, 
72, 23235, 1.9101335824095025e-06, -36.47636474363837, 28.434003750525477, -122.78285013766916, 
73, 23555, 4.2748994048297026e-07, -36.47560516778255, 28.4340072174551, -122.78284119431751, 
74, 23978, 5.832213468847987e-07, -36.476803318646006, 28.43189859684399, -122.7798749746701, 
75, 24195, 4.833958889850874e-07, -36.476081517988476, 28.433295597592142, -122.78191505057019, 
76, 24639, 7.024142873539379e-07, -36.47527716851577, 28.434301546354693, -122.78281593267508, 
77, 24709, 5.356561290189964e-07, -36.47508036071274, 28.434834179506378, -122.78447072392166, 
78, 25143, 5.248276973927899e-07, -36.47471561223575, 28.435438575945366, -122.78620297682504, 
79, 25463, 5.146371156238703e-07, -36.47406691715201, 28.436317523592553, -122.78678871182422, 
80, 25775, 5.804513951948081e-07, -36.47417834840591, 28.435683864452045, -122.78572527797118, 
81, 25935, 1.9351615523260753e-07, -36.47478487796189, 28.435073982937173, -122.78533323623599, 
82, 26309, 6.084807103785628e-07, -36.475653358120766, 28.434197901255313, -122.78410945307077, 
83, 26629, 5.44737847443328e-07, -36.475230166174164, 28.434563634686466, -122.7840783575681, 
84, 27063, 3.9228331704181545e-07, -36.474489542633, 28.435400456514166, -122.78568391480817, 
85, 27201, 3.735436033438523e-07, -36.47502200008411, 28.434721066225872, -122.78460819899908, 
86, 27787, 3.223811543517128e-07, -36.474784996406235, 28.434939669376103, -122.78501107233348, 
87, 27841, 3.5765580724321167e-07, -36.4745724482439, 28.435111579581136, -122.78524371663168, 
88, 28281, 4.706149074871043e-07, -36.47445558312339, 28.435784670066884, -122.78597321448709, 
89, 28747, 3.0028154462354143e-07, -36.47474853861007, 28.435091181577704, -122.78585973170775, 
