Title=Heatflux
Variables = Time[s], Altitude[km], Heatflux[W/m2]
Zone T="Case"
  1.0181685000000000E+07  2.0000000000000000E+02  2.6243331951457242E+02
  1.0181938100000000E+07  2.0000000000000000E+02  4.4789269944162697E+02
  1.0182191199999999E+07  2.0000000000000000E+02  5.3121044046999725E+02
  1.0182444300000001E+07  2.0000000000000000E+02  5.5280927232159399E+02
  1.0182697400000000E+07  2.0000000000000000E+02  5.4020208673132981E+02
  1.0182950500000000E+07  2.0000000000000000E+02  5.9007133052920892E+02
  1.0183203600000000E+07  2.0000000000000000E+02  6.0422947261417892E+02
  1.0183456699999999E+07  2.0000000000000000E+02  6.0688473986337806E+02
  1.0183709800000001E+07  2.0000000000000000E+02  6.3659958764171540E+02
  1.0183962900000000E+07  2.0000000000000000E+02  6.3363452161788939E+02
  1.0184216000000000E+07  2.0000000000000000E+02  5.6188956913057598E+02
  1.0184469100000000E+07  2.0000000000000000E+02  5.2586864397720808E+02
  1.0184722199999999E+07  2.0000000000000000E+02  4.2632957025566145E+02
  1.0184975300000001E+07  2.0000000000000000E+02  1.2463202078082369E+02
  1.0185228400000000E+07  2.0000000000000000E+02  1.1090853045068435E+02
  1.0185481500000000E+07  2.0000000000000000E+02  8.1249056194245668E+01
  1.0185734600000000E+07  2.0000000000000000E+02  7.5793111297250647E+01
  1.0185987699999999E+07  2.0000000000000000E+02  4.7441618885870156E+01
  1.0186240800000001E+07  2.0000000000000000E+02  5.5912164930113342E+01
  1.0186493900000000E+07  2.0000000000000000E+02  5.0906495588113266E+01
  1.0186747000000000E+07  2.0000000000000000E+02  4.4845548364901454E+01
